cell | V (mV),INa | xina (nA_per_nF)
34.7999,-0.440543
34.7694,-0.407623
34.7384,-0.377171
34.707,-0.349001
34.675,-0.322943
34.6427,-0.29884
34.6099,-0.27654
34.5767,-0.255905
34.5432,-0.236821
34.5093,-0.219162
34.4751,-0.202819
34.4405,-0.1877
34.4056,-0.17371
34.3704,-0.160762
34.335,-0.14878
34.2992,-0.137693
34.2633,-0.127433
34.227,-0.117937
34.1905,-0.109152
34.1538,-0.101021
34.1168,-0.093497
34.0797,-0.0865349
34.0423,-0.0800927
34.0047,-0.0741306
33.9669,-0.0686127
33.929,-0.0635072
33.8908,-0.0587821
33.8525,-0.0544079
33.814,-0.0503605
33.7753,-0.0466144
33.7365,-0.0431468
33.6975,-0.0399373
33.6584,-0.036967
33.6191,-0.0342177
33.5797,-0.0316731
33.5401,-0.0293191
33.5004,-0.0271408
33.4606,-0.025125
33.4206,-0.023259
33.3805,-0.0215313
33.3403,-0.0199357
33.3,-0.0184597
33.2595,-0.0170936
33.219,-0.0158281
33.1783,-0.0146542
33.1375,-0.0135722
33.0967,-0.0125709
33.0557,-0.0116437
33.0146,-0.0107839
32.9734,-0.00998519
32.9322,-0.00924815
32.8908,-0.00856582
32.8493,-0.00793351
32.8078,-0.00734719
32.7662,-0.00680297
32.7245,-0.00629931
32.6827,-0.005833
32.6408,-0.00540095
32.5989,-0.00500066
32.5569,-0.00462979
32.5148,-0.00428643
32.4727,-0.00396867
32.4304,-0.00367453
32.3882,-0.00340223
32.3458,-0.00315006
32.3034,-0.00291726
32.2609,-0.00270294
32.2184,-0.00250523
32.1758,-0.00232275
32.1332,-0.00215415
32.0905,-0.00199799
32.0478,-0.00185277
32.005,-0.00171688
31.9621,-0.0015947
31.9192,-0.00148337
31.8763,-0.00138091
31.8334,-0.00128628
31.7903,-0.00119838
31.7473,-0.001116
31.7042,-0.00103783
31.6611,-0.000963185
31.618,-0.000899136
31.5748,-0.000839858
31.5316,-0.000784772
31.4883,-0.000733278
31.4451,-0.000684746
31.4018,-0.000638515
31.3585,-0.000593878
31.3151,-0.000551795
31.2718,-0.000514354
31.2284,-0.000479186
31.185,-0.000446109
31.1416,-0.000414962
31.0982,-0.000385602
31.0548,-0.000357903
31.0113,-0.000331752
30.9679,-0.000307229
30.9244,-0.000284287
30.8809,-0.000262813
30.8375,-0.000242779
30.794,-0.000224168
30.7505,-0.000206975
30.707,-0.000191202
30.6635,-0.000176855
30.6201,-0.000163354
30.5766,-0.000150935
30.5331,-0.000139566
30.4896,-0.000129168
30.4462,-0.000119653
30.4027,-0.000110916
30.3593,-0.000102837
30.3159,-9.54E-05
30.2724,-8.91E-05
30.229,-8.33E-05
30.1856,-7.81E-05
30.1423,-7.33E-05
30.0989,-6.88E-05
30.0555,-6.45E-05
30.0122,-6.02E-05
29.9689,-5.62E-05
29.9256,-5.29E-05
29.8824,-4.98E-05
29.8391,-4.69E-05
29.7959,-4.40E-05
29.7527,-4.13E-05
29.7096,-3.85E-05
29.6665,-3.58E-05
29.6234,-3.33E-05
29.5803,-3.08E-05
29.5373,-2.85E-05
29.4943,-2.62E-05
29.4513,-2.41E-05
29.4084,-2.21E-05
29.3655,-2.03E-05
29.3226,-1.87E-05
29.2798,-1.69E-05
29.237,-1.53E-05
29.1942,-1.38E-05
29.1515,-1.24E-05
29.1089,-1.12E-05
29.0663,-1.01E-05
29.0237,-9.22E-06
28.9811,-8.46E-06
28.9387,-7.72E-06
28.8962,-7.09E-06
28.8538,-6.56E-06
28.8115,-6.10E-06
28.7692,-5.71E-06
28.7269,-5.35E-06
28.6847,-5.00E-06
28.6426,-4.75E-06
28.6005,-4.61E-06
28.5585,-4.49E-06
28.5165,-4.40E-06
28.4745,-4.30E-06
28.4327,-4.17E-06
28.3908,-4.01E-06
28.3491,-3.77E-06
28.3074,-3.63E-06
28.2657,-3.49E-06
28.2241,-3.34E-06
28.1826,-3.18E-06
28.1411,-3.00E-06
28.0997,-2.81E-06
28.0584,-2.62E-06
28.0171,-2.42E-06
27.9759,-2.19E-06
27.9347,-1.95E-06
27.8936,-1.72E-06
27.8526,-1.49E-06
27.8116,-1.29E-06
27.7707,-1.11E-06
27.7299,-9.78E-07
27.6891,-8.55E-07
27.6484,-6.99E-07
27.6078,-5.59E-07
27.5672,-4.39E-07
27.5268,-3.40E-07
27.4863,-2.63E-07
27.446,-2.10E-07
27.4057,-1.81E-07
27.3655,-1.66E-07
27.3254,-1.63E-07
27.2853,-1.73E-07
27.2453,-1.93E-07
27.2054,-2.16E-07
27.1656,-2.37E-07
27.1258,-2.49E-07
27.0861,-2.43E-07
27.0465,-2.79E-07
27.007,-3.16E-07
26.9675,-3.50E-07
26.9281,-3.77E-07
