environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
611,22.9776
612,22.9383
613,22.899
614,22.85985
615,22.8207
616,22.7817
617,22.74285
618,22.704
619,22.6653
620,22.6266
621,22.58805
622,22.54965
623,22.51125
624,22.47285
625,22.43475
626,22.39665
627,22.35855
628,22.3206
629,22.2828
630,22.245
631,22.20735
632,22.1697
633,22.1322
634,22.0947
635,22.05735
636,22.02015
637,21.98295
638,21.9459
639,21.90885
640,21.87195
641,21.83505
642,21.7983
643,21.7617
644,21.7251
645,21.68865
646,21.6522
647,21.6159
648,21.5796
649,21.54345
650,21.5073
651,21.4713
652,21.43545
653,21.3996
654,21.3639
655,21.3282
656,21.29265
657,21.2571
658,21.2217
659,21.1863
660,21.15105
661,21.1158
662,21.0807
663,21.04575
664,21.0108
665,20.97585
666,20.94105
667,20.9064
668,20.87175
669,20.83725
670,20.80275
671,20.7684
672,20.73405
673,20.69985
674,20.66565
675,20.6316
676,20.59755
677,20.56365
678,20.5299
679,20.49615
680,20.4624
681,20.4288
682,20.39535
683,20.36175
684,20.32845
685,20.29515
686,20.26185
687,20.2287
688,20.1957
689,20.1627
690,20.12985
691,20.097
692,20.06415
693,20.03145
694,19.9989
695,19.96635
696,19.9338
697,19.9014
698,19.86915
699,19.8369
700,19.80465
701,19.77255
702,19.7406
703,19.70865
704,19.6767
705,19.6449
706,19.61325
707,19.5816
708,19.54995
709,19.51845
710,19.48695
711,19.4556
712,19.4244
713,19.39305
714,19.362
715,19.33095
716,19.2999
717,19.269
718,19.2381
719,19.2072
720,19.1766
721,19.14585
722,19.11525
723,19.0848
724,19.05435
725,19.0239
726,18.9936
727,18.96345
728,18.9333
729,18.90315
730,18.87315
731,18.84315
732,18.8133
733,18.78345
734,18.75375
735,18.72405
736,18.69435
737,18.6648
738,18.6354
739,18.606
740,18.5766
741,18.54735
742,18.5181
743,18.489
744,18.4599
745,18.43095
746,18.402
747,18.37305
748,18.34425
749,18.3156
750,18.2868
751,18.2583
752,18.22965
753,18.2013
754,18.1728
755,18.14445
756,18.11625
757,18.08805
758,18.05985
759,18.0318
760,18.00375
761,17.9757
762,17.9478
763,17.92005
764,17.8923
765,17.86455
766,17.83695
767,17.80935
768,17.7819
769,17.75445
770,17.727
771,17.6997
772,17.6724
773,17.64525
774,17.6181
775,17.5911
776,17.5641
777,17.5371
778,17.51025
779,17.4834
780,17.4567
781,17.43
782,17.4033
783,17.37675
784,17.3502
785,17.3238
786,17.2974
787,17.271
788,17.24475
789,17.21865
790,17.1924
791,17.1663
792,17.14035
793,17.1144
794,17.08845
795,17.06265
796,17.03685
797,17.01105
798,16.9854
799,16.95975
800,16.93425
801,16.90875
802,16.8834
803,16.8579
804,16.8327
805,16.80735
806,16.78215
807,16.7571
808,16.73205
809,16.707
810,16.68195
811,16.65705
812,16.6323
813,16.6074
814,16.58265
815,16.55805
816,16.53345
817,16.50885
818,16.4844
819,16.45995
820,16.4355
821,16.4112
822,16.3869
823,16.3626
824,16.33845
825,16.3143
826,16.2903
827,16.2663
828,16.2423
829,16.21845
830,16.1946
831,16.1709
832,16.1472
833,16.1235
834,16.0998
835,16.07625
836,16.0527
837,16.0293
838,16.0059
839,15.98265
840,15.95925
841,15.936
842,15.9129
843,15.8898
844,15.8667
845,15.8436
846,15.82065
847,15.7977
848,15.7749
849,15.7521
850,15.7293
851,15.70665
852,15.684
853,15.66135
854,15.63885
855,15.61635
856,15.59385
857,15.5715
858,15.54915
859,15.52695
860,15.5046
861,15.48255
862,15.46035
863,15.4383
864,15.41625
865,15.3942
866,15.3723
867,15.3504
868,15.32865
869,15.3069
870,15.28515
871,15.2634
872,15.2418
873,15.2202
874,15.19875
875,15.1773
876,15.15585
877,15.13455
878,15.1131
879,15.09195
880,15.07065
881,15.0495
882,15.02835
883,15.00735
884,14.986245
885,14.965275
886,14.944335
887,14.923455
888,14.90262
889,14.881845
890,14.8611
891,14.840415
892,14.819775
893,14.79918
894,14.77863
895,14.75814
896,14.737695
897,14.71728
898,14.69694
899,14.67663
900,14.656365
901,14.63616
902,14.615985
903,14.59587
904,14.5758
905,14.555775
906,14.535795
907,14.51586
908,14.49597
909,14.476125
910,14.45634
911,14.436585
912,14.41689
913,14.397225
914,14.37762
915,14.35806
916,14.33853
917,14.31906
918,14.299635
919,14.280255
920,14.26092
921,14.241615
922,14.22237
923,14.20317
924,14.184015
925,14.16489
926,14.145825
927,14.126805
928,14.107815
929,14.088885
930,14.069985
931,14.051145
932,14.032335
933,14.01357
934,13.994865
935,13.97619
936,13.95756
937,13.938975
938,13.92042
939,13.901925
940,13.88346
941,13.865055
942,13.84668
943,13.82835
944,13.810065
945,13.791825
946,13.77363
947,13.755465
948,13.737345
949,13.71927
950,13.70124
951,13.683255
952,13.665315
953,13.647405
954,13.62954
955,13.61172
956,13.59393
957,13.5762
