cell | V (mV),INa | INa (uA_per_uF)
37.9617,-0.0143887
37.9011,-0.0133277
37.8413,-0.0123445
37.7823,-0.0114335
37.724,-0.0105895
37.6665,-0.00980753
37.6097,-0.00908303
37.5536,-0.00841191
37.4983,-0.00779016
37.4437,-0.00721412
37.3898,-0.00668058
37.3367,-0.00618632
37.2843,-0.00572841
37.2326,-0.0053043
37.1816,-0.00491145
37.1313,-0.00454753
37.0817,-0.00421049
37.0328,-0.00389832
36.9846,-0.00360919
36.937,-0.00334144
36.8902,-0.00309349
36.844,-0.00286385
36.7985,-0.00265122
36.7536,-0.00245432
36.7094,-0.00227199
36.6659,-0.00210316
36.6229,-0.00194684
36.5807,-0.00180208
36.539,-0.00166806
36.4979,-0.00154397
36.4575,-0.00142907
36.4176,-0.0013227
36.3784,-0.00122422
36.3397,-0.00113305
36.3017,-0.00104865
36.2642,-0.000970522
36.2272,-0.000898194
36.1909,-0.000831242
36.155,-0.000769272
36.1197,-0.000711906
36.085,-0.000658814
36.0508,-0.000609694
36.0171,-0.00056424
35.9839,-0.000522171
35.9512,-0.000483215
35.919,-0.000447201
35.8874,-0.000413906
35.8562,-0.000383098
35.8254,-0.000354568
35.7952,-0.000328113
35.7654,-0.000303708
35.736,-0.000281128
35.7071,-0.000260222
35.6787,-0.000240844
35.6506,-0.00022287
35.623,-0.000206278
35.5958,-0.000190915
35.5691,-0.000176683
35.5427,-0.000163492
35.5167,-0.000151271
35.4911,-0.000139967
35.4659,-0.000129502
35.4411,-0.000119813
35.4166,-0.000110843
35.3925,-0.000102543
35.3687,-9.49E-05
35.3453,-8.78E-05
35.3223,-8.12E-05
35.2995,-7.51E-05
35.2771,-6.95E-05
35.2551,-6.44E-05
35.2333,-5.96E-05
35.2118,-5.52E-05
35.1907,-5.12E-05
35.1698,-4.74E-05
35.1493,-4.39E-05
35.129,-4.07E-05
35.109,-3.78E-05
35.0892,-3.51E-05
35.0698,-3.27E-05
35.0506,-3.05E-05
35.0316,-2.84E-05
35.0129,-2.65E-05
34.9945,-2.46E-05
34.9762,-2.29E-05
34.9583,-2.13E-05
34.9405,-1.99E-05
34.923,-1.87E-05
34.9057,-1.75E-05
34.8886,-1.64E-05
34.8717,-1.53E-05
34.855,-1.43E-05
34.8385,-1.33E-05
34.8222,-1.24E-05
34.8061,-1.16E-05
34.7902,-1.08E-05
34.7745,-1.01E-05
34.7589,-9.44E-06
34.7436,-8.79E-06
34.7284,-8.17E-06
34.7133,-7.58E-06
34.6984,-7.02E-06
34.6837,-6.50E-06
34.6691,-6.00E-06
34.6547,-5.54E-06
34.6404,-5.11E-06
34.6263,-4.71E-06
34.6123,-4.34E-06
34.5984,-4.01E-06
34.5847,-3.69E-06
34.5711,-3.40E-06
34.5576,-3.13E-06
34.5442,-2.88E-06
34.531,-2.65E-06
34.5178,-2.45E-06
34.5048,-2.26E-06
34.4919,-2.09E-06
34.4791,-1.94E-06
34.4664,-1.81E-06
34.4538,-1.69E-06
34.4413,-1.59E-06
34.4289,-1.49E-06
34.4166,-1.40E-06
34.4043,-1.32E-06
34.3922,-1.23E-06
34.3801,-1.15E-06
34.3681,-1.09E-06
34.3562,-1.04E-06
34.3444,-9.83E-07
34.3327,-9.31E-07
34.321,-8.80E-07
34.3094,-8.28E-07
34.2979,-7.74E-07
34.2864,-7.20E-07
34.275,-6.71E-07
34.2636,-6.24E-07
34.2523,-5.77E-07
34.2411,-5.31E-07
34.23,-4.88E-07
34.2188,-4.47E-07
34.2078,-4.11E-07
34.1968,-3.76E-07
34.1858,-3.37E-07
34.1749,-3.01E-07
34.164,-2.66E-07
34.1532,-2.35E-07
34.1425,-2.07E-07
34.1317,-1.83E-07
34.121,-1.64E-07
34.1104,-1.49E-07
34.0998,-1.32E-07
34.0892,-1.18E-07
34.0787,-1.06E-07
34.0682,-9.61E-08
34.0577,-8.81E-08
34.0472,-8.15E-08
34.0368,-7.58E-08
34.0264,-7.10E-08
34.0161,-7.00E-08
34.0058,-7.00E-08
33.9955,-7.07E-08
33.9852,-7.16E-08
33.975,-7.21E-08
33.9647,-7.18E-08
33.9545,-6.98E-08
33.9444,-6.64E-08
33.9342,-6.63E-08
33.9241,-6.59E-08
33.9139,-6.50E-08
33.9038,-6.35E-08
33.8938,-6.14E-08
33.8837,-5.87E-08
33.8736,-5.54E-08
33.8636,-5.14E-08
33.8536,-4.62E-08
33.8436,-4.03E-08
33.8336,-3.38E-08
33.8236,-2.68E-08
33.8137,-1.96E-08
33.8037,-1.22E-08
33.7938,-5.06E-09
33.7839,1.58E-09
33.774,7.35E-09
33.764,1.18E-08
33.7542,1.45E-08
33.7443,1.50E-08
33.7344,2.17E-08
33.7245,2.92E-08
33.7147,3.66E-08
33.7048,4.37E-08
33.695,5.04E-08
33.6851,5.64E-08
33.6753,6.16E-08
33.6655,6.57E-08
33.6557,6.85E-08
33.6458,6.96E-08
33.636,6.89E-08
33.6262,6.58E-08
33.6164,6.55E-08
33.6066,6.64E-08
33.5968,6.68E-08
33.5871,6.67E-08
33.5773,6.61E-08
33.5675,6.50E-08
33.5577,6.34E-08
33.5479,6.14E-08
33.5382,5.89E-08
33.5284,5.61E-08
33.5187,5.28E-08
33.5089,4.93E-08
33.4991,4.54E-08
33.4894,4.14E-08
33.4796,3.72E-08
33.4699,3.29E-08
33.4601,2.87E-08
33.4504,2.45E-08
33.4406,2.05E-08
33.4309,1.67E-08
33.4211,1.33E-08
33.4114,1.05E-08
33.4016,8.21E-09
33.3919,6.69E-09
33.3822,5.26E-09
33.3724,2.73E-09
33.3627,4.45E-10
33.353,-1.57E-09
33.3432,-3.31E-09
33.3335,-4.76E-09
33.3238,-5.92E-09
33.314,-6.78E-09
33.3043,-7.35E-09
33.2946,-7.63E-09
33.2848,-7.63E-09
33.2751,-7.37E-09
33.2654,-6.87E-09
33.2556,-6.13E-09
33.2459,-5.21E-09
33.2362,-4.13E-09
33.2265,-2.94E-09
33.2167,-1.67E-09
33.207,-3.92E-10
33.1973,8.51E-10
33.1876,1.99E-09
33.1779,2.95E-09
33.1681,3.67E-09
33.1584,4.05E-09
33.1487,4.00E-09
33.139,5.05E-09
33.1293,6.10E-09
33.1196,7.07E-09
33.1098,7.95E-09
33.1001,8.70E-09
33.0904,9.32E-09
33.0807,9.79E-09
33.071,1.01E-08
33.0613,1.02E-08
33.0516,1.01E-08
33.0419,9.78E-09
33.0322,9.23E-09
33.0225,8.77E-09
33.0128,8.28E-09
33.0031,7.70E-09
32.9934,7.03E-09
32.9837,6.30E-09
32.974,5.53E-09
32.9643,4.74E-09
32.9546,3.97E-09
32.945,3.25E-09
32.9353,2.61E-09
32.9256,2.09E-09
32.9159,1.75E-09
32.9062,1.18E-09
32.8966,3.20E-10
32.8869,-5.15E-10
32.8772,-1.31E-09
32.8676,-2.06E-09
32.8579,-2.74E-09
32.8482,-3.33E-09
32.8386,-3.82E-09
32.8289,-4.18E-09
32.8193,-4.41E-09
32.8096,-4.48E-09
32.8,-4.36E-09
32.7903,-4.22E-09
32.7807,-4.24E-09
32.7711,-4.20E-09
32.7614,-4.09E-09
32.7518,-3.93E-09
32.7422,-3.72E-09
32.7326,-3.46E-09
32.7229,-3.18E-09
32.7133,-2.89E-09
32.7037,-2.59E-09
32.6941,-2.32E-09
32.6845,-2.08E-09
32.6749,-1.84E-09
32.6653,-1.37E-09
32.6558,-9.03E-10
32.6462,-4.31E-10
32.6366,3.22E-11
32.627,4.75E-10
32.6174,8.85E-10
32.6079,1.25E-09
32.5983,1.56E-09
32.5888,1.79E-09
32.5792,1.93E-09
32.5697,1.97E-09
32.5601,1.88E-09
32.5506,2.03E-09
32.5411,2.14E-09
32.5316,2.21E-09
32.522,2.25E-09
32.5125,2.26E-09
32.503,2.23E-09
32.4935,2.17E-09
32.484,2.09E-09
32.4745,1.99E-09
32.4651,1.87E-09
32.4556,1.74E-09
