X,Y
16.9,14.01175944
17,14.01072422
17.1,14.00967739
17.2,14.00861888
17.3,14.00754865
17.4,14.00646662
17.5,14.00537276
17.6,14.00426699
17.7,14.00314926
17.8,14.00201952
17.9,14.0008777
18,13.99972376
18.1,13.99855763
18.2,13.99737927
18.3,13.9961886
18.4,13.99498558
18.5,13.99377016
18.6,13.99254227
18.7,13.99130186
18.8,13.99004887
18.9,13.98878326
19,13.98750496
19.1,13.98621391
19.2,13.98491007
19.3,13.98359338
19.4,13.98226379
19.5,13.98092123
19.6,13.97956566
19.7,13.97819701
19.8,13.97681525
19.9,13.9754203
20,13.97401213
20.1,13.97259066
20.2,13.97115586
20.3,13.96970766
20.4,13.96824602
20.5,13.96677087
20.6,13.96528217
20.7,13.96377987
20.8,13.9622639
20.9,13.96073422
21,13.95919077
21.1,13.9576335
21.2,13.95606236
21.3,13.9544773
21.4,13.95287826
21.5,13.95126519
21.6,13.94963804
21.7,13.94799675
21.8,13.94634128
21.9,13.94467157
22,13.94298757
22.1,13.94128923
22.2,13.9395765
22.3,13.93784932
22.4,13.93610765
22.5,13.93435144
22.6,13.93258062
22.7,13.93079516
22.8,13.928995
22.9,13.92718008
23,13.92535037
23.1,13.92350581
23.2,13.92164634
23.3,13.91977193
23.4,13.91788251
23.5,13.91597804
23.6,13.91405847
23.7,13.91212374
23.8,13.91017382
23.9,13.90820864
24,13.90622817
24.1,13.90423234
24.2,13.90222112
24.3,13.90019445
24.4,13.89815228
24.5,13.89609457
24.6,13.89402126
24.7,13.89193231
24.8,13.88982766
24.9,13.88770728
25,13.8855711
25.1,13.8834191
25.2,13.8812512
25.3,13.87906737
25.4,13.87686757
25.5,13.87465173
25.6,13.87241982
25.7,13.87017178
25.8,13.86790757
25.9,13.86562715
26,13.86333045
26.1,13.86101745
26.2,13.85868809
26.3,13.85634231
26.4,13.85398009
26.5,13.85160136
26.6,13.84920609
26.7,13.84679423
26.8,13.84436573
26.9,13.84192054
27,13.83945861
27.1,13.83697991
27.2,13.83448439
27.3,13.831972
27.4,13.82944269
27.5,13.82689642
27.6,13.82433315
27.7,13.82175283
27.8,13.8191554
27.9,13.81654084
28,13.81390909
28.1,13.81126011
28.2,13.80859385
28.3,13.80591027
28.4,13.80320932
28.5,13.80049097
28.6,13.79775516
28.7,13.79500185
28.8,13.792231
28.9,13.78944256
29,13.78663649
29.1,13.78381274
29.2,13.78097128
29.3,13.77811206
29.4,13.77523503
29.5,13.77234015
29.6,13.76942738
29.7,13.76649667
29.8,13.76354798
29.9,13.76058128
30,13.75759651
30.1,13.75459363
30.2,13.7515726
30.3,13.74853338
30.4,13.74547593
30.5,13.7424002
30.6,13.73930615
30.7,13.73619374
30.8,13.73306293
30.9,13.72991367
31,13.72674592
31.1,13.72355965
31.2,13.72035481
31.3,13.71713135
31.4,13.71388924
31.5,13.71062844
31.6,13.7073489
31.7,13.70405059
31.8,13.70073346
31.9,13.69739747
32,13.69404258
32.1,13.69066875
32.2,13.68727595
32.3,13.68386412
32.4,13.68043323
32.5,13.67698324
32.6,13.67351411
32.7,13.6700258
32.8,13.66651827
32.9,13.66299147
33,13.65944538
33.1,13.65587995
33.2,13.65229514
33.3,13.64869091
33.4,13.64506722
33.5,13.64142403
33.6,13.63776131
33.7,13.63407901
33.8,13.6303771
33.9,13.62665553
34,13.62291428
34.1,13.61915329
34.2,13.61537254
34.3,13.61157198
34.4,13.60775157
34.5,13.60391128
34.6,13.60005107
34.7,13.5961709
34.8,13.59227073
34.9,13.58835053
35,13.58441026
35.1,13.58044987
35.2,13.57646934
35.3,13.57246862
35.4,13.56844769
35.5,13.56440649
35.6,13.560345
35.7,13.55626317
35.8,13.55216098
35.9,13.54803838
36,13.54389533
36.1,13.53973181
36.2,13.53554777
36.3,13.53134318
36.4,13.52711799
36.5,13.52287219
36.6,13.51860572
36.7,13.51431856
36.8,13.51001067
36.9,13.505682
37,13.50133254
37.1,13.49696223
37.2,13.49257105
37.3,13.48815896
37.4,13.48372593
37.5,13.47927191
37.6,13.47479688
37.7,13.4703008
37.8,13.46578364
37.9,13.46124535
38,13.45668591
38.1,13.45210529
38.2,13.44750343
38.3,13.44288033
38.4,13.43823592
38.5,13.4335702
38.6,13.42888311
38.7,13.42417463
38.8,13.41944473
38.9,13.41469336
39,13.40992049
39.1,13.4051261
39.2,13.40031015
39.3,13.3954726
39.4,13.39061342
39.5,13.38573258
39.6,13.38083004
39.7,13.37590578
39.8,13.37095976
39.9,13.36599194
40,13.3610023
40.1,13.3559908
40.2,13.3509574
40.3,13.34590209
40.4,13.34082482
40.5,13.33572556
40.6,13.33060428
40.7,13.32546095
40.8,13.32029554
40.9,13.315108
41,13.30989833
41.1,13.30466647
41.2,13.2994124
41.3,13.2941361
41.4,13.28883751
41.5,13.28351663
41.6,13.27817341
41.7,13.27280782
41.8,13.26741983
41.9,13.26200942
42,13.25657655
42.1,13.25112118
42.2,13.2456433
42.3,13.24014287
42.4,13.23461985
42.5,13.22907423
42.6,13.22350596
42.7,13.21791502
42.8,13.21230138
42.9,13.20666501
43,13.20100588
43.1,13.19532395
43.2,13.18961921
43.3,13.18389161
43.4,13.17814114
43.5,13.17236775
43.6,13.16657143
43.7,13.16075214
43.8,13.15490986
43.9,13.14904455
