environment | time (second),AE1 | Jb_influx (nmol_per_s_per_cm2)
707,0.0466284
708,0.0465631
709,0.046498
710,0.0464331
711,0.0463683
712,0.0463038
713,0.0462394
714,0.0461752
715,0.0461111
716,0.0460473
717,0.0459836
718,0.0459201
719,0.0458568
720,0.0457936
721,0.0457307
722,0.0456679
723,0.0456052
724,0.0455428
725,0.0454805
726,0.0454184
727,0.0453564
728,0.0452947
729,0.0452331
730,0.0451716
731,0.0451103
732,0.0450492
733,0.0449883
734,0.0449275
735,0.0448669
736,0.0448064
737,0.0447461
738,0.044686
739,0.044626
740,0.0445662
741,0.0445066
742,0.0444471
743,0.0443878
744,0.0443286
745,0.0442696
746,0.0442107
747,0.044152
748,0.0440935
749,0.0440351
750,0.0439769
751,0.0439188
752,0.0438609
753,0.0438031
754,0.0437455
755,0.043688
756,0.0436307
757,0.0435735
758,0.0435165
759,0.0434596
760,0.0434029
761,0.0433463
762,0.0432899
763,0.0432336
764,0.0431775
765,0.0431215
766,0.0430657
767,0.04301
768,0.0429544
769,0.042899
770,0.0428437
771,0.0427886
772,0.0427336
773,0.0426788
774,0.0426241
775,0.0425695
776,0.0425151
777,0.0424608
778,0.0424066
779,0.0423526
780,0.0422988
781,0.042245
782,0.0421914
783,0.042138
784,0.0420846
785,0.0420314
786,0.0419784
787,0.0419255
788,0.0418727
789,0.04182
790,0.0417675
791,0.0417151
792,0.0416628
793,0.0416107
794,0.0415587
795,0.0415068
796,0.0414551
797,0.0414035
798,0.041352
799,0.0413006
800,0.0412494
801,0.0411983
802,0.0411473
803,0.0410965
804,0.0410457
805,0.0409951
806,0.0409447
807,0.0408943
808,0.0408441
809,0.040794
810,0.040744
811,0.0406941
812,0.0406444
813,0.0405948
814,0.0405453
815,0.0404959
816,0.0404467
817,0.0403975
818,0.0403485
819,0.0402996
820,0.0402508
821,0.0402022
822,0.0401536
823,0.0401052
824,0.0400569
825,0.0400087
826,0.0399606
827,0.0399127
828,0.0398648
829,0.0398171
830,0.0397695
831,0.039722
832,0.0396746
833,0.0396273
834,0.0395801
835,0.0395331
836,0.0394861
837,0.0394393
838,0.0393926
839,0.039346
840,0.0392995
841,0.0392531
842,0.0392068
843,0.0391607
844,0.0391146
845,0.0390686
846,0.0390228
847,0.0389771
848,0.0389314
849,0.0388859
850,0.0388405
851,0.0387952
852,0.03875
853,0.0387049
854,0.0386599
855,0.038615
856,0.0385702
857,0.0385255
858,0.0384809
859,0.0384364
860,0.0383921
861,0.0383478
