membrane | V (mV),sodium_current | i_Na (uA_per_mm2)
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6176,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6175,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404528
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6174,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6173,-0.00404527
-84.6172,-0.00404527
-84.1177,-0.00403069
-83.6189,-0.00401673
-83.121,-0.00400322
-82.6238,-0.00399012
-82.1273,-0.00397746
-81.6316,-0.00396528
-81.1366,-0.00395365
-80.6423,-0.00394267
-80.1487,-0.00393244
-79.6557,-0.0039231
-79.1633,-0.00391481
-78.6716,-0.00390775
-78.1804,-0.00390214
-77.6898,-0.00389823
-77.1998,-0.00389631
-76.7103,-0.00389673
-76.2214,-0.0038999
-75.7329,-0.00390629
-75.2449,-0.00391644
-74.7574,-0.00393099
-74.2703,-0.00395067
-73.7836,-0.00397634
-73.2974,-0.00400898
-72.8115,-0.00404972
-72.326,-0.00409988
-71.8408,-0.00416097
