X,Y
19.7,16.108374
19.8,16.108374
19.9,16.108374
20,16.108374
20.1,16.108374
20.2,16.108374
20.3,16.108374
20.4,16.108374
20.5,16.108374
20.6,16.125512
20.7,16.125512
20.8,16.125512
20.9,16.125512
21,16.125512
21.1,16.125512
21.2,16.125512
21.3,16.125512
21.4,16.125512
21.5,16.125512
21.6,16.18818
21.7,16.18818
21.8,16.18818
21.9,16.18818
22,16.18818
22.1,16.18818
22.2,16.18818
22.3,16.18818
22.4,16.18818
22.5,16.18818
22.6,16.2823
22.7,16.2823
22.8,16.2823
22.9,16.2823
23,16.2823
23.1,16.2823
23.2,16.2823
23.3,16.2823
23.4,16.2823
23.5,16.2823
23.6,16.39778
23.7,16.39778
23.8,16.39778
23.9,16.39778
24,16.39778
24.1,16.39778
24.2,16.39778
24.3,16.39778
24.4,16.39778
24.5,16.39778
24.6,16.52748
24.7,16.52748
24.8,16.52748
24.9,16.52748
25,16.52748
25.1,16.52748
25.2,16.52748
25.3,16.52748
25.4,16.52748
25.5,16.52748
25.6,16.66642
25.7,16.66642
25.8,16.66642
25.9,16.66642
26,16.66642
26.1,16.66642
26.2,16.66642
26.3,16.66642
26.4,16.66642
26.5,16.66642
26.6,16.81082
26.7,16.81082
26.8,16.81082
26.9,16.81082
27,16.81082
27.1,16.81082
27.2,16.81082
27.3,16.81082
27.4,16.81082
27.5,16.81082
27.6,16.95776
27.7,16.95776
27.8,16.95776
27.9,16.95776
28,16.95776
28.1,16.95776
28.2,16.95776
28.3,16.95776
28.4,16.95776
28.5,16.95776
28.6,17.10504
28.7,17.10504
28.8,17.10504
28.9,17.10504
29,17.10504
29.1,17.10504
29.2,17.10504
29.3,17.10504
29.4,17.10504
29.5,17.10504
29.6,17.25098
29.7,17.25098
29.8,17.25098
29.9,17.25098
30,17.25098
30.1,17.25098
30.2,17.25098
30.3,17.25098
30.4,17.25098
30.5,17.25098
30.6,17.39416
30.7,17.39416
30.8,17.39416
30.9,17.39416
31,17.39416
31.1,17.39416
31.2,17.39416
31.3,17.39416
31.4,17.39416
31.5,17.39416
31.6,17.53346
31.7,17.53346
31.8,17.53346
31.9,17.53346
32,17.53346
32.1,17.53346
32.2,17.53346
32.3,17.53346
32.4,17.53346
32.5,17.53346
32.6,17.66778
32.7,17.66778
32.8,17.66778
32.9,17.66778
33,17.66778
33.1,17.66778
33.2,17.66778
33.3,17.66778
33.4,17.66778
33.5,17.66778
33.6,17.79626
