Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
7.15,0.00536477
7.155,0.00529207
7.16,0.00522018
7.165,0.0051491
7.17,0.00507882
7.175,0.00500933
7.18,0.00494063
7.185,0.0048727
7.19,0.00480555
7.195,0.00473917
7.2,0.00467355
7.205,0.00460868
7.21,0.00454455
7.215,0.00448117
7.22,0.00441852
7.225,0.0043566
7.23,0.0042954
7.235,0.00423492
7.24,0.00417515
7.245,0.00411608
7.25,0.00405771
7.255,0.00400003
7.26,0.00394303
7.265,0.00388671
7.27,0.00383106
7.275,0.00377608
7.28,0.00372176
7.285,0.0036681
7.29,0.00361508
7.295,0.00356271
7.3,0.00351097
7.305,0.00345986
7.31,0.00340938
7.315,0.00335952
7.32,0.00331027
7.325,0.00326162
7.33,0.00321358
7.335,0.00316614
7.34,0.00311929
7.345,0.00307302
7.35,0.00302733
7.355,0.00298221
7.36,0.00293766
7.365,0.00289368
7.37,0.00285025
7.375,0.00280738
7.38,0.00276505
7.385,0.00272326
7.39,0.00268201
7.395,0.00264128
7.4,0.00260109
7.405,0.00256141
7.41,0.00252225
7.415,0.0024836
7.42,0.00244545
7.425,0.0024078
7.43,0.00237064
7.435,0.00233398
7.44,0.0022978
7.445,0.0022621
7.45,0.00222687
7.455,0.00219211
7.46,0.00215781
7.465,0.00212398
7.47,0.0020906
7.475,0.00205767
7.48,0.00202519
7.485,0.00199314
7.49,0.00196153
7.495,0.00193036
7.5,0.0018996
7.505,0.00186928
7.51,0.00183936
7.515,0.00180987
7.52,0.00178077
7.525,0.00175209
7.53,0.0017238
7.535,0.00169591
7.54,0.00166841
7.545,0.00164129
7.55,0.00161456
7.555,0.0015882
7.56,0.00156222
7.565,0.0015366
7.57,0.00151136
7.575,0.00148647
7.58,0.00146194
7.585,0.00143776
7.59,0.00141393
7.595,0.00139044
7.6,0.0013673
7.605,0.00134449
7.61,0.00132201
7.615,0.00129986
7.62,0.00127804
7.625,0.00125654
7.63,0.00123536
7.635,0.00121448
7.64,0.00119392
7.645,0.00117367
7.65,0.00115371
7.655,0.00113406
7.66,0.0011147
7.665,0.00109563
7.67,0.00107685
7.675,0.00105835
7.68,0.00104013
7.685,0.00102219
7.69,0.00100452
7.695,0.000987129
7.7,0.00097
7.705,0.000953134
7.71,0.000936528
7.715,0.000920179
7.72,0.000904084
7.725,0.000888239
7.73,0.000872641
7.735,0.000857287
7.74,0.000842173
7.745,0.000827297
7.75,0.000812656
7.755,0.000798246
7.76,0.000784064
7.765,0.000770108
7.77,0.000756373
7.775,0.000742859
7.78,0.00072956
7.785,0.000716475
7.79,0.000703601
7.795,0.000690935
7.8,0.000678473
7.805,0.000666214
7.81,0.000654154
7.815,0.000642291
7.82,0.000630621
7.825,0.000619143
7.83,0.000607854
7.835,0.00059675
7.84,0.00058583
7.845,0.000575091
7.85,0.00056453
7.855,0.000554145
7.86,0.000543932
7.865,0.000533891
7.87,0.000524018
7.875,0.000514311
7.88,0.000504767
7.885,0.000495385
7.89,0.000486161
7.895,0.000477094
7.9,0.000468181
7.905,0.00045942
7.91,0.000450809
7.915,0.000442345
7.92,0.000434026
7.925,0.000425851
7.93,0.000417817
7.935,0.000409921
7.94,0.000402163
7.945,0.000394539
7.95,0.000387048
7.955,0.000379687
7.96,0.000372455
7.965,0.00036535
7.97,0.00035837
7.975,0.000351512
7.98,0.000344776
7.985,0.000338158
7.99,0.000331658
7.995,0.000325274
8,0.000319002
8.005,0.000312843
8.01,0.000306794
8.015,0.000300853
8.02,0.000295019
8.025,0.000289289
8.03,0.000283663
8.035,0.000278139
8.04,0.000272714
8.045,0.000267388
8.05,0.000262158
