environment | time (second),AE1 | Jc_influx (nmol_per_s_per_cm2)
554,0.464534
555,0.463706
556,0.462881
557,0.462059
558,0.46124
559,0.460424
560,0.459611
561,0.458801
562,0.457993
563,0.457189
564,0.456387
565,0.455588
566,0.454792
567,0.453998
568,0.453208
569,0.45242
570,0.451634
571,0.450852
572,0.450072
573,0.449295
574,0.448521
575,0.447749
576,0.44698
577,0.446213
578,0.44545
579,0.444688
580,0.44393
581,0.443174
582,0.44242
583,0.441669
584,0.440921
585,0.440175
586,0.439432
587,0.438691
588,0.437953
589,0.437217
590,0.436484
591,0.435753
592,0.435024
593,0.434298
594,0.433575
595,0.432853
596,0.432135
597,0.431418
598,0.430704
599,0.429993
600,0.429283
601,0.428576
602,0.427872
603,0.427169
604,0.426469
605,0.425771
606,0.425076
607,0.424383
608,0.423692
609,0.423003
610,0.422316
611,0.421632
612,0.42095
613,0.42027
614,0.419593
615,0.418917
616,0.418244
617,0.417573
618,0.416904
619,0.416237
620,0.415572
621,0.41491
622,0.414249
623,0.413591
624,0.412934
625,0.41228
626,0.411628
627,0.410978
628,0.41033
629,0.409684
630,0.40904
631,0.408398
632,0.407758
633,0.40712
634,0.406484
635,0.40585
636,0.405218
637,0.404588
638,0.40396
639,0.403334
640,0.40271
641,0.402088
642,0.401467
643,0.400849
644,0.400232
645,0.399618
646,0.399005
647,0.398394
648,0.397785
649,0.397178
650,0.396573
651,0.395969
652,0.395368
653,0.394768
654,0.39417
655,0.393574
656,0.392979
657,0.392387
658,0.391796
659,0.391207
660,0.39062
661,0.390034
662,0.389451
663,0.388869
664,0.388288
665,0.38771
666,0.387133
667,0.386558
668,0.385985
669,0.385413
670,0.384843
671,0.384275
672,0.383708
673,0.383143
674,0.38258
675,0.382018
676,0.381458
677,0.3809
678,0.380343
679,0.379788
680,0.379235
681,0.378683
682,0.378132
683,0.377584
684,0.377037
685,0.376491
686,0.375947
687,0.375405
688,0.374864
689,0.374325
690,0.373787
691,0.373251
692,0.372716
693,0.372183
694,0.371652
695,0.371122
696,0.370593
697,0.370066
698,0.369541
699,0.369017
700,0.368494
701,0.367973
702,0.367453
703,0.366935
704,0.366419
705,0.365903
706,0.36539
707,0.364877
708,0.364366
709,0.363857
710,0.363349
711,0.362842
712,0.362337
713,0.361833
714,0.361331
715,0.36083
716,0.36033
717,0.359832
718,0.359335
719,0.35884
720,0.358345
721,0.357853
722,0.357361
723,0.356871
724,0.356382
725,0.355895
726,0.355409
727,0.354924
728,0.354441
729,0.353959
730,0.353478
731,0.352998
732,0.35252
733,0.352043
734,0.351568
735,0.351093
736,0.35062
737,0.350148
738,0.349678
739,0.349209
740,0.348741
741,0.348274
742,0.347808
743,0.347344
744,0.346881
745,0.346419
746,0.345959
747,0.345499
748,0.345041
749,0.344584
750,0.344129
751,0.343674
752,0.343221
753,0.342769
754,0.342318
755,0.341868
756,0.34142
757,0.340972
758,0.340526
759,0.340081
760,0.339637
761,0.339195
762,0.338753
763,0.338313
764,0.337873
765,0.337435
766,0.336998
767,0.336562
768,0.336128
769,0.335694
770,0.335262
771,0.33483
772,0.3344
773,0.333971
774,0.333543
775,0.333116
776,0.33269
777,0.332265
778,0.331841
779,0.331419
780,0.330997
781,0.330577
782,0.330157
783,0.329739
784,0.329322
785,0.328905
786,0.32849
787,0.328076
788,0.327663
789,0.327251
790,0.32684
791,0.32643
792,0.326021
793,0.325613
794,0.325206
795,0.3248
796,0.324395
797,0.323991
798,0.323588
799,0.323187
800,0.322786
801,0.322386
802,0.321987
803,0.321589
804,0.321192
805,0.320796
806,0.320401
807,0.320007
808,0.319614
809,0.319222
810,0.318831
811,0.318441
812,0.318051
813,0.317663
814,0.317276
815,0.31689
816,0.316504
817,0.31612
818,0.315736
819,0.315353
820,0.314972
821,0.314591
822,0.314211
823,0.313832
824,0.313454
825,0.313077
826,0.312701
827,0.312325
828,0.311951
829,0.311578
830,0.311205
831,0.310833
832,0.310462
833,0.310092
834,0.309723
835,0.309355
836,0.308988
837,0.308621
838,0.308256
839,0.307891
840,0.307527
841,0.307164
842,0.306802
843,0.306441
844,0.30608
845,0.305721
846,0.305362
847,0.305004
848,0.304647
849,0.304291
850,0.303935
851,0.303581
852,0.303227
853,0.302874
854,0.302522
855,0.302171
856,0.30182
857,0.301471
858,0.301122
859,0.300774
860,0.300426
861,0.30008
862,0.299734
863,0.299389
864,0.299045
865,0.298702
866,0.29836
867,0.298018
868,0.297677
869,0.297337
870,0.296998
871,0.296659
872,0.296321
873,0.295984
874,0.295648
875,0.295312
876,0.294978
877,0.294644
878,0.29431
879,0.293978
880,0.293646
881,0.293315
882,0.292985
883,0.292655
884,0.292327
885,0.291999
886,0.291671
887,0.291345
888,0.291019
889,0.290694
890,0.29037
891,0.290046
892,0.289723
893,0.289401
894,0.289079
895,0.288758
896,0.288438
897,0.288119
898,0.2878
899,0.287482
900,0.287165
901,0.286849
902,0.286533
903,0.286218
904,0.285903
905,0.285589
906,0.285276
907,0.284964
908,0.284652
909,0.284341
910,0.284031
911,0.283721
912,0.283412
913,0.283104
914,0.282796
915,0.282489
916,0.282183
917,0.281877
918,0.281572
919,0.281268
920,0.280964
921,0.280661
922,0.280359
923,0.280057
924,0.279756
925,0.279455
926,0.279156
927,0.278857
928,0.278558
929,0.27826
930,0.277963
931,0.277666
932,0.27737
933,0.277075
934,0.27678
935,0.276486
936,0.276193
937,0.2759
938,0.275608
939,0.275316
940,0.275025
941,0.274735
942,0.274445
943,0.274156
944,0.273867
945,0.273579
946,0.273292
947,0.273005
948,0.272719
949,0.272434
950,0.272149
951,0.271865
952,0.271581
953,0.271298
954,0.271015
955,0.270733
956,0.270452
957,0.270171
958,0.269891
959,0.269611
960,0.269332
961,0.269054
962,0.268776
963,0.268498
964,0.268222
965,0.267946
966,0.26767
967,0.267395
968,0.26712
969,0.266846
970,0.266573
971,0.2663
972,0.266028
973,0.265756
974,0.265485
975,0.265215
976,0.264945
977,0.264675
978,0.264406
979,0.264138
980,0.26387
981,0.263603
982,0.263336
983,0.26307
984,0.262804
985,0.262539
986,0.262274
987,0.26201
988,0.261747
989,0.261484
990,0.261221
991,0.260959
992,0.260698
993,0.260437
994,0.260176
995,0.259917
996,0.259657
997,0.259398
998,0.25914
999,0.258882
1000,0.258625
