ion_concentrations | V (volt),NBC_current | I_NaGl_SS (uA)
-0.08,-0.0633383
-0.0798,-0.0633131
-0.0796,-0.0632877
-0.0794,-0.0632623
-0.0792,-0.0632367
-0.079,-0.0632111
-0.0788,-0.0631854
-0.0786,-0.0631596
-0.0784,-0.0631337
-0.0782,-0.0631077
-0.078,-0.0630816
-0.0778,-0.0630554
-0.0776,-0.0630291
-0.0774,-0.0630028
-0.0772,-0.0629763
-0.077,-0.0629497
-0.0768,-0.0629231
-0.0766,-0.0628964
-0.0764,-0.0628695
-0.0762,-0.0628426
-0.076,-0.0628156
-0.0758,-0.0627884
-0.0756,-0.0627612
-0.0754,-0.0627339
-0.0752,-0.0627065
-0.075,-0.062679
-0.0748,-0.0626513
-0.0746,-0.0626236
-0.0744,-0.0625958
-0.0742,-0.0625679
-0.074,-0.0625399
-0.0738,-0.0625118
-0.0736,-0.0624836
-0.0734,-0.0624552
-0.0732,-0.0624268
-0.073,-0.0623983
-0.0728,-0.0623697
-0.0726,-0.0623409
-0.0724,-0.0623121
-0.0722,-0.0622832
-0.072,-0.0622541
-0.0718,-0.062225
-0.0716,-0.0621957
-0.0714,-0.0621664
-0.0712,-0.0621369
-0.071,-0.0621073
-0.0708,-0.0620777
-0.0706,-0.0620479
-0.0704,-0.062018
-0.0702,-0.061988
-0.07,-0.0619579
-0.0698,-0.0619276
-0.0696,-0.0618973
-0.0694,-0.0618669
-0.0692,-0.0618363
-0.069,-0.0618056
-0.0688,-0.0617748
-0.0686,-0.061744
-0.0684,-0.0617129
-0.0682,-0.0616818
-0.068,-0.0616506
-0.0678,-0.0616192
-0.0676,-0.0615878
-0.0674,-0.0615562
-0.0672,-0.0615245
-0.067,-0.0614927
-0.0668,-0.0614608
-0.0666,-0.0614287
-0.0664,-0.0613966
-0.0662,-0.0613643
-0.066,-0.0613319
-0.0658,-0.0612993
-0.0656,-0.0612667
-0.0654,-0.0612339
-0.0652,-0.0612011
-0.065,-0.0611681
-0.0648,-0.0611349
-0.0646,-0.0611017
-0.0644,-0.0610683
-0.0642,-0.0610348
-0.064,-0.0610012
-0.0638,-0.0609674
-0.0636,-0.0609336
-0.0634,-0.0608996
-0.0632,-0.0608655
-0.063,-0.0608312
-0.0628,-0.0607968
-0.0626,-0.0607623
-0.0624,-0.0607277
-0.0622,-0.0606929
-0.062,-0.060658
-0.0618,-0.060623
-0.0616,-0.0605879
-0.0614,-0.0605526
-0.0612,-0.0605172
-0.061,-0.0604816
-0.0608,-0.060446
-0.0606,-0.0604102
-0.0604,-0.0603742
-0.0602,-0.0603381
-0.06,-0.0603019
-0.0598,-0.0602656
-0.0596,-0.0602291
-0.0594,-0.0601925
-0.0592,-0.0601557
-0.059,-0.0601188
-0.0588,-0.0600818
-0.0586,-0.0600446
-0.0584,-0.0600073
-0.0582,-0.0599699
-0.058,-0.0599323
-0.0578,-0.0598945
-0.0576,-0.0598567
-0.0574,-0.0598187
-0.0572,-0.0597805
-0.057,-0.0597422
-0.0568,-0.0597038
-0.0566,-0.0596652
-0.0564,-0.0596264
-0.0562,-0.0595876
-0.056,-0.0595485
-0.0558,-0.0595094
-0.0556,-0.05947
-0.0554,-0.0594306
-0.0552,-0.059391
-0.055,-0.0593512
-0.0548,-0.0593113
-0.0546,-0.0592712
-0.0544,-0.059231
-0.0542,-0.0591907
-0.054,-0.0591502
-0.0538,-0.0591095
-0.0536,-0.0590687
-0.0534,-0.0590277
-0.0532,-0.0589866
-0.053,-0.0589453
-0.0528,-0.0589039
-0.0526,-0.0588623
-0.0524,-0.0588205
-0.0522,-0.0587786
-0.052,-0.0587366
-0.0518,-0.0586943
-0.0516,-0.058652
-0.0514,-0.0586094
-0.0512,-0.0585667
-0.051,-0.0585239
-0.0508,-0.0584809
-0.0506,-0.0584377
-0.0504,-0.0583943
-0.0502,-0.0583508
-0.05,-0.0583072
-0.0498,-0.0582633
-0.0496,-0.0582193
-0.0494,-0.0581752
-0.0492,-0.0581308
-0.049,-0.0580864
-0.0488,-0.0580417
-0.0486,-0.0579969
-0.0484,-0.0579519
-0.0482,-0.0579067
-0.048,-0.0578614
-0.0478,-0.0578159
-0.0476,-0.0577702
-0.0474,-0.0577243
-0.0472,-0.0576783
-0.047,-0.0576321
-0.0468,-0.0575858
-0.0466,-0.0575392
-0.0464,-0.0574925
-0.0462,-0.0574456
-0.046,-0.0573986
-0.0458,-0.0573513
-0.0456,-0.0573039
-0.0454,-0.0572563
-0.0452,-0.0572086
-0.045,-0.0571606
-0.0448,-0.0571125
-0.0446,-0.0570642
-0.0444,-0.0570157
-0.0442,-0.0569671
-0.044,-0.0569182
-0.0438,-0.0568692
-0.0436,-0.05682
-0.0434,-0.0567706
-0.0432,-0.056721
-0.043,-0.0566712
-0.0428,-0.0566213
-0.0426,-0.0565712
-0.0424,-0.0565208
-0.0422,-0.0564703
-0.042,-0.0564197
-0.0418,-0.0563688
-0.0416,-0.0563177
-0.0414,-0.0562665
-0.0412,-0.056215
-0.041,-0.0561634
-0.0408,-0.0561116
-0.0406,-0.0560595
-0.0404,-0.0560073
-0.0402,-0.0559549
-0.04,-0.0559023
-0.0398,-0.0558496
-0.0396,-0.0557966
-0.0394,-0.0557434
-0.0392,-0.05569
-0.039,-0.0556365
-0.0388,-0.0555827
-0.0386,-0.0555287
-0.0384,-0.0554746
-0.0382,-0.0554202
-0.038,-0.0553657
-0.0378,-0.0553109
-0.0376,-0.055256
-0.0374,-0.0552008
-0.0372,-0.0551455
-0.037,-0.0550899
-0.0368,-0.0550342
-0.0366,-0.0549782
-0.0364,-0.0549221
-0.0362,-0.0548657
-0.036,-0.0548091
-0.0358,-0.0547524
-0.0356,-0.0546954
-0.0354,-0.0546382
-0.0352,-0.0545808
-0.035,-0.0545232
-0.0348,-0.0544654
-0.0346,-0.0544074
-0.0344,-0.0543492
-0.0342,-0.0542908
-0.034,-0.0542321
-0.0338,-0.0541733
-0.0336,-0.0541142
-0.0334,-0.054055
-0.0332,-0.0539955
-0.033,-0.0539358
-0.0328,-0.0538759
-0.0326,-0.0538158
-0.0324,-0.0537555
-0.0322,-0.0536949
-0.032,-0.0536342
-0.0318,-0.0535732
-0.0316,-0.0535121
-0.0314,-0.0534507
-0.0312,-0.0533891
-0.031,-0.0533272
-0.0308,-0.0532652
-0.0306,-0.0532029
-0.0304,-0.0531405
-0.0302,-0.0530778
-0.03,-0.0530148
-0.0298,-0.0529517
-0.0296,-0.0528884
-0.0294,-0.0528248
-0.0292,-0.052761
-0.029,-0.052697
-0.0288,-0.0526328
-0.0286,-0.0525683
-0.0284,-0.0525037
-0.0282,-0.0524388
-0.028,-0.0523736
-0.0278,-0.0523083
-0.0276,-0.0522427
-0.0274,-0.052177
-0.0272,-0.052111
-0.027,-0.0520447
-0.0268,-0.0519783
-0.0266,-0.0519116
-0.0264,-0.0518447
-0.0262,-0.0517776
-0.026,-0.0517102
-0.0258,-0.0516426
-0.0256,-0.0515748
-0.0254,-0.0515068
-0.0252,-0.0514385
-0.025,-0.05137
-0.0248,-0.0513013
-0.0246,-0.0512324
-0.0244,-0.0511632
-0.0242,-0.0510938
-0.024,-0.0510242
-0.0238,-0.0509543
-0.0236,-0.0508843
-0.0234,-0.050814
-0.0232,-0.0507434
-0.023,-0.0506726
-0.0228,-0.0506016
-0.0226,-0.0505304
-0.0224,-0.050459
-0.0222,-0.0503873
-0.022,-0.0503154
-0.0218,-0.0502432
-0.0216,-0.0501708
-0.0214,-0.0500982
-0.0212,-0.0500254
-0.021,-0.0499523
-0.0208,-0.049879
-0.0206,-0.0498055
-0.0204,-0.0497317
-0.0202,-0.0496577
-0.02,-0.0495835
-0.0198,-0.0495091
-0.0196,-0.0494344
-0.0194,-0.0493594
-0.0192,-0.0492843
-0.019,-0.0492089
-0.0188,-0.0491333
