Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
6.735,0.0479413
6.74,0.0478784
6.745,0.0478149
6.75,0.0477508
6.755,0.0476862
6.76,0.047621
6.765,0.0475553
6.77,0.0474889
6.775,0.047422
6.78,0.0473545
6.785,0.0472864
6.79,0.0472177
6.795,0.0471484
6.8,0.0470786
6.805,0.0470081
6.81,0.046937
6.815,0.0468653
6.82,0.0467931
6.825,0.0467202
6.83,0.0466467
6.835,0.0465725
6.84,0.0464978
6.845,0.0464224
6.85,0.0463464
6.855,0.0462698
6.86,0.0461926
6.865,0.0461147
6.87,0.0460362
6.875,0.045957
6.88,0.0458772
6.885,0.0457968
6.89,0.0457157
6.895,0.045634
6.9,0.0455516
6.905,0.0454686
6.91,0.0453849
6.915,0.0453006
6.92,0.0452156
6.925,0.0451299
6.93,0.0450436
6.935,0.0449566
6.94,0.044869
6.945,0.0447806
6.95,0.0446917
6.955,0.044602
6.96,0.0445117
6.965,0.0444207
6.97,0.044329
6.975,0.0442366
6.98,0.0441436
6.985,0.0440499
6.99,0.0439555
6.995,0.0438604
7,0.0437646
7.005,0.0436682
7.01,0.043571
7.015,0.0434732
7.02,0.0433747
7.025,0.0432755
7.03,0.0431756
7.035,0.0430751
7.04,0.0429738
7.045,0.0428718
7.05,0.0427692
7.055,0.0426659
7.06,0.0425619
7.065,0.0424572
7.07,0.0423518
7.075,0.0422457
7.08,0.0421389
7.085,0.0420314
7.09,0.0419233
7.095,0.0418144
7.1,0.0417049
7.105,0.0415947
7.11,0.0414838
7.115,0.0413722
7.12,0.0412599
7.125,0.041147
7.13,0.0410334
7.135,0.0409191
7.14,0.0408041
7.145,0.0406884
7.15,0.0405721
7.155,0.0404551
7.16,0.0403374
7.165,0.0402191
7.17,0.0401
7.175,0.0399804
7.18,0.03986
7.185,0.039739
7.19,0.0396174
7.195,0.0394951
7.2,0.0393721
7.205,0.0392485
7.21,0.0391243
7.215,0.0389994
7.22,0.0388739
7.225,0.0387477
7.23,0.0386209
7.235,0.0384935
7.24,0.0383655
7.245,0.0382368
7.25,0.0381075
7.255,0.0379777
7.26,0.0378472
7.265,0.0377161
7.27,0.0375844
7.275,0.0374521
7.28,0.0373192
7.285,0.0371858
7.29,0.0370518
7.295,0.0369172
7.3,0.036782
7.305,0.0366463
7.31,0.03651
7.315,0.0363731
7.32,0.0362358
7.325,0.0360978
7.33,0.0359594
7.335,0.0358204
7.34,0.0356809
7.345,0.0355409
7.35,0.0354004
7.355,0.0352593
7.36,0.0351178
7.365,0.0349758
7.37,0.0348333
7.375,0.0346904
7.38,0.0345469
7.385,0.0344031
7.39,0.0342587
7.395,0.0341139
7.4,0.0339687
7.405,0.0338231
7.41,0.033677
7.415,0.0335305
7.42,0.0333836
7.425,0.0332364
7.43,0.0330887
7.435,0.0329406
7.44,0.0327922
7.445,0.0326434
7.45,0.0324943
7.455,0.0323448
7.46,0.0321949
7.465,0.0320448
7.47,0.0318943
7.475,0.0317435
7.48,0.0315924
7.485,0.031441
7.49,0.0312894
7.495,0.0311374
7.5,0.0309852
7.505,0.0308327
7.51,0.03068
7.515,0.0305271
7.52,0.0303739
7.525,0.0302205
7.53,0.0300669
7.535,0.0299131
7.54,0.0297591
7.545,0.0296049
7.55,0.0294506
7.555,0.0292961
7.56,0.0291415
7.565,0.0289867
7.57,0.0288318
7.575,0.0286767
7.58,0.0285216
7.585,0.0283664
7.59,0.028211
7.595,0.0280556
7.6,0.0279002
7.605,0.0277446
7.61,0.0275891
7.615,0.0274335
7.62,0.0272778
7.625,0.0271222
7.63,0.0269665
7.635,0.0268109
7.64,0.0266553
7.645,0.0264996
7.65,0.0263441
7.655,0.0261885
7.66,0.0260331
7.665,0.0258777
7.67,0.0257223
7.675,0.0255671
7.68,0.025412
7.685,0.0252569
7.69,0.025102
7.695,0.0249472
7.7,0.0247926
7.705,0.0246381
7.71,0.0244837
7.715,0.0243295
7.72,0.0241755
7.725,0.0240217
7.73,0.0238681
7.735,0.0237147
7.74,0.0235615
7.745,0.0234086
7.75,0.0232558
7.755,0.0231033
7.76,0.0229511
7.765,0.0227992
7.77,0.0226475
7.775,0.0224961
7.78,0.022345
7.785,0.0221941
7.79,0.0220436
7.795,0.0218935
7.8,0.0217436
7.805,0.0215941
7.81,0.0214449
7.815,0.0212961
7.82,0.0211477
7.825,0.0209996
7.83,0.0208519
7.835,0.0207046
7.84,0.0205577
7.845,0.0204112
7.85,0.0202651
7.855,0.0201194
7.86,0.0199742
7.865,0.0198294
7.87,0.019685
7.875,0.0195411
7.88,0.0193976
7.885,0.0192547
7.89,0.0191121
7.895,0.0189701
7.9,0.0188286
