X,Y
1.91,-67.10430613
1.92,-67.10430613
1.93,-67.10430613
1.94,-67.10430613
1.95,-67.10430613
1.96,-67.10430613
1.97,-67.10430613
1.98,-67.10430613
1.99,-67.10430613
2,-67.10430613
2.01,-67.10430613
2.02,-67.10430613
2.03,-67.10430613
2.04,-67.10430613
2.05,-67.10430613
2.06,-67.10430613
2.07,-67.10430613
2.08,-67.10430613
2.09,-67.10430613
2.1,-67.10430613
2.11,-67.10430613
2.12,-67.10430613
2.13,-67.10430613
2.14,-67.10430613
2.15,-67.10430613
2.16,-67.10430613
2.17,-67.10430613
2.18,-67.10430613
2.19,-67.10430613
2.2,-67.10430613
2.21,-67.10430613
2.22,-67.10430613
2.23,-67.10430613
2.24,-67.10430613
2.25,-67.10430613
2.26,-67.10430613
2.27,-67.10430613
2.28,-67.10430613
2.29,-67.10430613
2.3,-67.10430613
2.31,-67.10430613
2.32,-67.10430613
2.33,-67.10430613
2.34,-67.10430613
2.35,-67.10430613
2.36,-67.10430613
2.37,-67.10430613
2.38,-67.10430613
2.39,-67.10430613
2.4,-67.10430613
2.41,-67.10430613
2.42,-67.10430613
2.43,-67.10430613
2.44,-67.10430613
2.45,-67.10430613
2.46,-67.10430613
2.47,-67.10430613
2.48,-67.10430613
2.49,-67.10430613
2.5,-67.10430613
2.51,-20.61487392
2.52,-20.61487392
2.53,-20.61487392
2.54,-20.61487392
2.55,-20.61487392
2.56,-20.61487392
2.57,-20.61487392
2.58,-20.61487392
2.59,-20.61487392
2.6,-20.61487392
2.61,-20.61487392
2.62,-20.61487392
2.63,-20.61487392
2.64,-20.61487392
2.65,-20.61487392
2.66,-20.61487392
2.67,-20.61487392
2.68,-20.61487392
2.69,-20.61487392
2.7,-20.61487392
2.71,-20.61487392
2.72,-20.61487392
2.73,-20.61487392
2.74,-20.61487392
2.75,-20.61487392
2.76,-20.61487392
2.77,-20.61487392
2.78,-20.61487392
2.79,-20.61487392
2.8,-20.61487392
2.81,-20.61487392
2.82,-20.61487392
2.83,-20.61487392
2.84,-20.61487392
2.85,-20.61487392
2.86,-20.61487392
2.87,-20.61487392
2.88,-20.61487392
2.89,-20.61487392
2.9,-20.61487392
2.91,-20.61487392
2.92,-20.61487392
2.93,-20.61487392
2.94,-20.61487392
2.95,-20.61487392
2.96,-20.61487392
2.97,-20.61487392
2.98,-20.61487392
2.99,-20.61487392
3,-20.61487392
3.01,-20.57536497
3.02,-20.57536497
3.03,-20.57536497
3.04,-20.57536497
3.05,-20.57536497
3.06,-20.57536497
3.07,-20.57536497
3.08,-20.57536497
3.09,-20.57536497
3.1,-20.57536497
3.11,-20.57536497
3.12,-20.57536497
3.13,-20.57536497
3.14,-20.57536497
3.15,-20.57536497
3.16,-20.57536497
3.17,-20.57536497
3.18,-20.57536497
3.19,-20.57536497
3.2,-20.57536497
3.21,-20.57536497
3.22,-20.57536497
3.23,-20.57536497
3.24,-20.57536497
3.25,-20.57536497
3.26,-20.57536497
3.27,-20.57536497
3.28,-20.57536497
3.29,-20.57536497
3.3,-20.57536497
3.31,-20.57536497
3.32,-20.57536497
3.33,-20.57536497
3.34,-20.57536497
3.35,-20.57536497
3.36,-20.57536497
3.37,-20.57536497
3.38,-20.57536497
3.39,-20.57536497
3.4,-20.57536497
3.41,-20.57536497
3.42,-20.57536497
3.43,-20.57536497
3.44,-20.57536497
3.45,-20.57536497
3.46,-20.57536497
3.47,-20.57536497
3.48,-20.57536497
3.49,-20.57536497
3.5,-20.57536497
3.51,-14.31918751
3.52,-14.31918751
3.53,-14.31918751
3.54,-14.31918751
3.55,-14.31918751
3.56,-14.31918751
3.57,-14.31918751
3.58,-14.31918751
3.59,-14.31918751
3.6,-14.31918751
3.61,-14.31918751
3.62,-14.31918751
3.63,-14.31918751
3.64,-14.31918751
3.65,-14.31918751
3.66,-14.31918751
3.67,-14.31918751
3.68,-14.31918751
3.69,-14.31918751
3.7,-14.31918751
3.71,-14.31918751
3.72,-14.31918751
3.73,-14.31918751
3.74,-14.31918751
3.75,-14.31918751
3.76,-14.31918751
3.77,-14.31918751
3.78,-14.31918751
3.79,-14.31918751
3.8,-14.31918751
3.81,-14.31918751
3.82,-14.31918751
3.83,-14.31918751
3.84,-14.31918751
3.85,-14.31918751
3.86,-14.31918751
3.87,-14.31918751
3.88,-14.31918751
3.89,-14.31918751
3.9,-14.31918751
3.91,-14.31918751
3.92,-14.31918751
3.93,-14.31918751
