environment | time (second),Concentrations | C_ext_H (mM),Concentrations | C_ext_Na (mM),Concentrations | C_ext_Na' (mM/second),Concentrations | C_ext_NH4 (mM),Concentrations | C_int_H (mM),Concentrations | C_int_Na (mM),Concentrations | C_int_NH4 (mM),NHE3 | alpha_ext_Na (dimensionless),NHE3 | alpha_int_Na (dimensionless),NHE3 | beta_ext_H (dimensionless),NHE3 | beta_int_H (dimensionless),NHE3 | gamma_ext_NH4 (dimensionless),NHE3 | gamma_int_NH4 (dimensionless),NHE3 | J_NHE3_H (nmol_per_s_per_cm2),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2),NHE3 | J_NHE3_NH4 (nmol_per_s_per_cm2),NHE3 | sum_NHE3 (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_H (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_Na (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_NH4 (nmol_per_s_per_cm2),NHE3_Parameters | K_NHE3_H (mM),NHE3_Parameters | K_NHE3_Na (mM),NHE3_Parameters | K_NHE3_NH4 (mM),NHE3_Parameters | XTxP0_NHE3_H (nmol_per_s_per_cm2),NHE3_Parameters | XTxP0_NHE3_Na (nmol_per_s_per_cm2),NHE3_Parameters | XTxP0_NHE3_NH4 (nmol_per_s_per_cm2),,,,,,NHE3 | C_ext_Na (mM),NHE3 | C_int_Na (mM)
0.044,0.0495,140.44,10,0.2,0.001,19.6,0.23,4.68133,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1863,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.44,19.6
0.045,0.0495,140.45,10,0.2,0.001,19.6,0.23,4.68167,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1863,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.45,19.6
0.046,0.0495,140.46,10,0.2,0.001,19.6,0.23,4.682,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1863,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.46,19.6
0.047,0.0495,140.47,10,0.2,0.001,19.6,0.23,4.68233,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1863,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.47,19.6
0.048,0.0495,140.48,10,0.2,0.001,19.6,0.23,4.68267,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1864,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.48,19.6
0.049,0.0495,140.49,10,0.2,0.001,19.6,0.23,4.683,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1864,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.49,19.6
0.05,0.0495,140.5,10,0.2,0.001,19.6,0.23,4.68333,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1864,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.5,19.6
0.051,0.0495,140.51,10,0.2,0.001,19.6,0.23,4.68367,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1864,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.51,19.6
0.052,0.0495,140.52,10,0.2,0.001,19.6,0.23,4.684,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1864,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.52,19.6
0.053,0.0495,140.53,10,0.2,0.001,19.6,0.23,4.68433,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.50E-07,21.1865,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.53,19.6
